;optimal_profit;approximate_profit;selected_items;time_taken
f1_l-d_kp_10_269;295;292;[1, 2, 7, 9, 9];0.0009529590606689453
f10_l-d_kp_20_879;1025;1021;[3, 4, 8, 10, 11, 11, 13, 13, 17, 17, 17, 17, 17, 17, 18, 19];0.001590728759765625
f3_l-d_kp_4_20;35;35;[0, 1, 3];0.0007398128509521484
f8_l-d_kp_23_10000;9767;9630;[0, 19, 19, 19, 19, 19, 19, 19, 19, 19];0.0015447139739990234
f4_l-d_kp_4_11;23;23;[1, 3];0.0007500648498535156
f9_l-d_kp_5_80;130;130;[0, 1, 2, 3];0.0007531642913818359
f2_l-d_kp_20_878;1024;1028;[1, 2, 11, 12, 14, 18, 18, 18, 18, 18, 18, 18, 19, 19, 19];0.0015416145324707031
f7_l-d_kp_7_50;107;107;[0, 3];0.0005824565887451172
f6_l-d_kp_10_60;52;52;[2, 4, 5, 6, 7, 8, 9];0.0006041526794433594
